Sorted_X, Sorted_Y
10.4101,109.809
-0.60804,110.799
-11.71,110.683
-22.7844,109.453
-33.7195,107.114
-44.4041,103.681
-54.7287,99.182
-64.5866,93.6535
-73.8753,87.1444
-82.4971,79.7134
-90.3605,71.4287
-97.3808,62.368
-103.482,52.6171
-108.595,42.2694
-112.662,31.4251
-115.636,20.1898
-117.477,8.6742
-118.161,-3.00774
-117.673,-14.7395
-116.008,-26.4032
-113.177,-37.8809
-109.199,-49.0558
-104.107,-59.8133
-97.9446,-70.0422
-90.7669,-79.6361
-82.6393,-88.494
-73.6373,-96.5218
-63.8458,-103.633
-53.358,-109.751
-42.2749,-114.806
-30.7044,-118.741
-18.7595,-121.509
-6.55815,-123.075
5.7785,-123.414
18.1272,-122.516
30.3637,-120.381
42.364,-117.024
54.006,-112.469
65.1702,-106.756
75.7411,-99.934
85.6085,-92.0648
94.6688,-83.221
102.826,-73.4854
109.991,-62.9503
116.087,-51.7168
121.045,-39.8935
124.809,-27.5957
127.333,-14.9442
128.584,-2.06399
128.541,10.9167
127.197,23.8679
124.558,36.6591
120.642,49.1607
115.48,61.2451
109.117,72.7883
101.611,83.6709
93.0281,93.7793
83.4496,103.007
72.9656,111.257
61.6761,118.439
49.6897,124.475
37.1228,129.297
24.0985,132.85
10.7449,135.09
-2.80564,135.988
-16.418,135.526
-29.9556,133.7
-43.282,130.522
-56.2619,126.015
-68.7628,120.217
-80.6562,113.179
-91.819,104.964
-102.135,95.6473
-111.495,85.3173
-119.8,74.0716
-126.96,62.018
-132.897,49.2732
-137.544,35.9611
-140.847,22.2126
-142.765,8.16322
-143.272,-6.04745
-142.353,-20.2775
-140.011,-34.384
-136.26,-48.2244
-131.132,-61.6583
-124.669,-74.5483
-116.929,-86.7618
-107.982,-98.1723
-97.9133,-108.661
-86.8163,-118.117
-74.7972,-126.439
-61.9718,-133.539
-48.4645,-139.338
-34.4074,-143.77
-19.9386,-146.783
-5.20146,-148.341
9.65752,-148.418
24.4897,-147.007
39.1458,-144.113
53.4778,-139.758
67.3399,-133.977
80.5903,-126.821
93.0926,-118.356
104.717,-108.657
115.343,-97.8178
124.858,-85.9398
133.16,-73.1371
140.159,-59.5335
145.78,-45.2616
149.957,-30.461
152.642,-15.2778
153.8,0.137487
153.411,15.6313
151.471,31.0484
147.991,46.2335
143,61.0329
136.538,75.2961
128.664,88.877
119.449,101.636
108.979,113.44
97.3528,124.166
84.6813,133.702
71.0865,141.944
56.7002,148.805
41.6629,154.207
26.1223,158.09
10.2321,160.407
-5.85007,161.127
-21.9636,160.234
-37.9468,157.731
-53.6387,153.632
-68.8802,147.973
-83.516,140.803
-97.3962,132.184
-110.378,122.199
-122.326,110.938
-133.116,98.5109
-142.634,85.0351
-150.777,70.6411
-157.458,55.4691
-162.603,39.6676
-166.152,23.3921
-168.062,6.80391
-168.305,-9.9321
-166.873,-26.6486
-163.771,-43.1777
-159.021,-59.3526
-152.665,-75.0092
-144.758,-89.9879
-135.372,-104.135
-124.595,-117.305
-112.527,-129.361
-99.2854,-140.176
-84.9959,-149.637
-69.7975,-157.642
-53.8385,-164.103
-37.2755,-168.949
-20.272,-172.124
-2.9965,-173.589
14.3788,-173.319
31.6799,-171.311
48.733,-167.576
65.3657,-162.144
81.4093,-155.062
96.6999,-146.392
111.081,-136.216
124.404,-124.628
136.53,-111.738
147.332,-97.67
156.696,-82.5592
164.521,-66.5526
170.723,-49.807
175.231,-32.487
177.992,-14.7639
178.972,3.18635
178.152,21.1846
175.532,39.0505
171.132,56.6042
164.987,73.6682
157.15,90.0691
147.694,105.64
136.707,120.22
124.29,133.658
110.564,145.817
95.6592,156.566
79.7209,165.794
62.9042,173.399
45.3741,179.3
27.3033,183.429
8.87075,185.738
-9.74017,186.195
-28.3435,184.788
-46.7527,181.523
-64.7822,176.424
-82.2495,169.536
-98.9769,160.919
-114.794,150.653
-129.537,138.834
-143.055,125.573
-155.206,110.997
-165.864,95.248
-174.913,78.4778
-182.258,60.8506
-187.818,42.5398
-191.528,23.726
-193.345,4.59596
-193.242,-14.6599
-191.212,-33.8489
-187.267,-52.7783
-181.439,-71.2572
-173.78,-89.0985
-164.357,-106.12
-153.258,-122.149
-140.589,-137.02
-126.468,-150.578
-111.033,-162.683
-94.4319,-173.207
-76.827,-182.039
-58.3909,-189.082
-39.3048,-194.259
-19.7577,-197.511
0.0563923,-198.797
19.9398,-198.096
39.6933,-195.408
59.1185,-190.751
78.0192,-184.163
96.2037,-175.705
113.487,-165.451
129.692,-153.5
144.652,-139.963
158.212,-124.97
170.23,-108.665
180.581,-91.2071
189.153,-72.7666
195.853,-53.5245
200.608,-33.6704
203.361,-13.4012
204.078,7.08159
202.743,27.5735
199.361,47.869
193.959,67.7639
186.583,87.0572
177.299,105.553
166.192,123.063
153.368,139.408
138.948,154.419
123.07,167.94
105.889,179.832
87.5706,189.967
68.2951,198.238
48.2518,204.554
27.6387,208.846
6.6604,211.061
-14.4743,211.171
-35.554,209.165
-56.3674,205.057
-76.7045,198.879
-96.36,190.685
-115.134,180.55
-132.835,168.569
-149.282,154.854
-164.305,139.537
-177.748,122.765
-189.471,104.7
-199.349,85.5198
-207.277,65.4116
-213.168,44.5737
-216.956,23.2123
-218.595,1.53953
-218.059,-20.2285
-215.348,-41.8739
-210.48,-63.1793
-203.495,-83.9299
-194.457,-103.916
-183.448,-122.934
-170.572,-140.789
-155.95,-157.3
-139.723,-172.295
-122.047,-185.618
-103.096,-197.131
-83.0529,-206.71
-62.1161,-214.254
-40.4919,-219.678
-18.3945,-222.922
3.95639,-223.945
26.3376,-222.729
48.5249,-219.277
70.2952,-213.617
91.429,-205.797
111.712,-195.888
130.938,-183.982
148.911,-170.191
165.446,-154.647
180.372,-137.499
193.534,-118.914
204.794,-99.072
214.033,-78.1686
221.15,-56.4091
226.067,-34.0085
228.728,-11.1892
229.097,11.8218
227.162,34.7943
222.936,57.4982
216.453,79.7049
207.769,101.19
196.965,121.736
184.14,141.134
169.418,159.185
152.938,175.704
134.86,190.52
115.36,203.479
94.6272,214.445
72.8664,223.3
50.2917,229.949
27.1265,234.318
3.60102,236.355
-20.0503,236.032
-43.5909,233.345
-66.7845,228.312
-89.3975,220.975
-111.201,211.401
-131.975,199.677
-151.507,185.915
-169.597,170.245
-186.059,152.817
-200.723,133.801
-213.436,113.382
-224.064,91.7595
-232.494,69.1463
-238.633,45.7657
-242.413,21.8494
-243.788,-2.36473
-242.737,-26.6351
-239.262,-50.7188
-233.389,-74.3738
-225.17,-97.3617
-214.679,-119.45
-202.014,-140.415
-187.295,-160.042
-170.663,-178.13
-152.278,-194.494
-132.318,-208.964
-110.978,-221.388
-88.4679,-231.636
-65.0092,-239.597
-40.8338,-245.185
-16.1815,-248.336
8.70221,-249.011
33.5688,-247.195
58.169,-242.897
82.2557,-236.154
105.586,-227.024
127.923,-215.593
149.041,-201.966
168.724,-186.274
186.77,-168.666
202.993,-149.314
217.225,-128.406
229.317,-106.145
239.142,-82.7521
246.593,-58.4564
251.588,-33.4989
254.071,-8.12753
254.007,17.4049
251.39,42.8431
246.237,67.9319
238.593,92.419
228.527,116.057
216.131,138.607
201.523,159.839
184.841,179.537
166.247,197.499
145.922,213.538
124.062,227.49
100.883,239.207
76.6123,248.565
51.49,255.463
25.765,259.825
-0.306918,261.599
-26.4656,260.759
-52.4493,257.307
-77.9973,251.267
-102.852,242.694
-126.763,231.665
-149.488,218.283
-170.795,202.675
-190.466,184.991
-208.301,165.401
-224.114,144.096
-237.741,121.284
-249.039,97.1896
-257.887,72.0495
-264.191,46.1127
-267.879,19.6364
-268.906,-7.11571
-267.254,-33.8766
-262.931,-60.3782
-255.974,-86.3543
-246.443,-111.543
-234.427,-135.69
-220.038,-158.551
-203.414,-179.892
-184.715,-199.495
-164.121,-217.159
-141.833,-232.701
-118.07,-245.96
-93.0654,-256.795
-67.0655,-265.092
-40.3279,-270.759
-13.1184,-273.732
14.2921,-273.974
41.6294,-271.473
68.6198,-266.248
94.9917,-258.343
120.479,-247.828
144.825,-234.802
167.782,-219.388
189.115,-201.733
208.607,-182.007
226.057,-160.403
241.284,-137.131
254.13,-112.419
264.459,-86.5109
272.16,-59.6624
277.149,-32.1397
279.368,-4.2166
278.787,23.8285
275.404,51.7152
269.244,79.1636
260.361,105.898
248.837,131.648
234.78,156.153
218.322,179.165
199.623,200.448
178.863,219.785
156.243,236.977
131.986,251.845
106.33,264.233
79.5273,274.012
51.8433,281.076
23.5529,285.346
-5.06247,286.771
-33.7171,285.33
-62.1242,281.03
-89.9985,273.904
-117.06,264.017
-143.034,251.459
-167.659,236.35
-190.684,218.833
-211.874,199.078
-231.012,177.275
-247.901,153.638
-262.365,128.398
-274.252,101.803
-283.437,74.1164
-289.821,45.6119
-293.331,16.5727
-293.924,-12.7118
-291.588,-41.9491
-286.336,-70.8463
-278.215,-99.1131
-267.296,-126.465
-253.683,-152.625
-237.503,-177.329
-218.913,-200.324
-198.091,-221.377
-175.241,-240.272
-150.584,-256.812
-124.364,-270.826
-96.8392,-282.168
-68.2808,-290.716
-38.9723,-296.377
-9.20524,-299.087
20.7237,-298.811
50.5152,-295.544
79.8707,-289.31
108.495,-280.163
136.1,-268.189
162.406,-253.498
187.146,-236.231
210.069,-216.554
230.94,-194.657
249.545,-170.755
265.692,-145.08
279.212,-117.886
289.964,-89.4396
297.831,-60.0237
302.729,-29.9297
304.6,0.542841
303.417,31.0898
299.184,61.4056
291.936,91.1861
281.737,120.132
268.682,147.951
252.894,174.361
234.524,199.095
213.749,221.901
190.771,242.546
165.815,260.816
139.124,276.524
110.962,289.504
81.6065,299.621
51.3489,306.765
20.4896,310.858
-10.6642,311.85
-41.8013,309.724
-72.6098,304.493
-102.781,296.201
-132.01,284.923
-160.003,270.766
-186.476,253.862
-211.16,234.375
-233.804,212.493
-254.176,188.428
-272.066,162.417
-287.288,134.715
-299.684,105.594
-309.122,75.3427
-315.501,44.2611
-318.748,12.6583
-318.824,-19.1509
-315.719,-50.8484
-309.457,-82.1168
-300.092,-112.642
-287.711,-142.116
-272.429,-170.242
-254.393,-196.734
-233.777,-221.324
-210.779,-243.761
-185.625,-263.814
-158.561,-281.276
-129.852,-295.968
-99.7835,-307.734
-68.6515,-316.449
-36.7655,-322.02
-4.44268,-324.382
27.9944,-323.503
60.2212,-319.385
91.9149,-312.061
122.757,-301.596
152.436,-288.088
180.652,-271.663
207.12,-252.479
231.57,-230.722
253.753,-206.603
273.44,-180.358
290.43,-152.244
304.544,-122.538
315.635,-91.533
323.585,-59.5372
328.306,-26.8678
329.743,6.14955
327.874,39.1853
322.709,71.9089
314.293,103.992
302.701,135.112
288.043,164.955
270.457,193.219
250.112,219.617
227.206,243.881
201.961,265.763
174.625,285.039
145.466,301.508
114.771,314.999
82.8455,325.37
50.0044,332.511
16.5748,336.341
-17.1102,336.815
-50.714,333.92
-83.9001,327.676
-116.335,318.139
-147.693,305.396
-177.657,289.567
-205.925,270.803
-232.208,249.285
-256.24,225.222
-277.774,198.848
-296.59,170.424
-312.492,140.227
-325.314,108.556
-334.921,75.7245
-341.21,42.0587
-344.109,7.89347
-343.582,-26.4305
-339.626,-60.57
-332.272,-94.183
-321.586,-126.932
-307.668,-158.486
-290.649,-188.529
-270.692,-216.754
-247.991,-242.876
-222.765,-266.628
-195.263,-287.767
-165.753,-306.075
-134.527,-321.364
-101.893,-333.471
-68.1744,-342.27
-33.7062,-347.665
1.16821,-349.593
36.1009,-348.028
70.7423,-342.977
104.745,-334.483
137.767,-322.622
169.476,-307.507
199.552,-289.28
227.69,-268.117
253.603,-244.224
277.027,-217.833
297.723,-189.202
315.477,-158.613
330.105,-126.369
341.452,-92.7865
349.399,-58.2003
353.858,-22.9538
354.777,12.6018
352.138,48.1113
345.959,83.2191
336.296,117.573
323.236,150.828
306.902,182.648
287.451,212.712
265.071,240.715
239.979,266.371
212.42,289.42
182.664,309.625
151.004,326.777
117.753,340.697
83.2401,351.239
47.8078,358.291
11.8087,361.773
-24.3981,361.644
-60.4509,357.896
-95.9885,350.559
-130.654,339.698
-164.099,325.415
-195.985,307.844
-225.991,287.155
-253.812,263.548
-279.164,237.252
-301.788,208.524
-321.453,177.648
-337.955,144.926
-351.121,110.683
-360.814,75.2584
-366.927,39.0034
-369.393,2.27926
-368.178,-34.5475
-363.287,-71.1086
-354.761,-107.038
-342.677,-141.974
-327.149,-175.565
-308.324,-207.472
-286.383,-237.373
-261.541,-264.963
-234.037,-289.961
-204.143,-312.113
-172.153,-331.19
-138.381,-346.994
-103.163,-359.36
-66.8467,-368.158
-29.7941,-373.291
7.6259,-374.701
45.0395,-372.365
82.0724,-366.298
118.353,-356.554
153.517,-343.222
187.21,-326.428
219.092,-306.332
248.839,-283.129
276.15,-257.045
300.746,-228.333
322.375,-197.276
340.815,-164.18
355.874,-129.372
367.395,-93.1958
375.254,-56.011
379.365,-18.1876
379.68,19.8974
376.187,57.8632
368.914,95.3299
357.924,131.921
343.321,167.27
325.242,201.019
303.862,232.827
279.387,262.372
252.056,289.355
222.136,313.499
189.922,334.556
155.731,352.311
119.901,366.577
82.7868,377.206
44.7578,384.084
6.19219,387.133
-32.5251,386.316
-71.007,381.632
-108.868,373.121
-145.728,360.859
-181.216,344.962
-214.974,325.581
-246.661,302.904
-275.955,277.149
-302.559,248.569
-326.201,217.444
-346.637,184.08
-363.658,148.806
-377.085,111.972
-386.778,73.9416
-392.631,35.0944
-394.578,-4.183
-392.591,-43.4985
-386.684,-82.4587
-376.906,-120.673
-363.347,-157.758
-346.136,-193.34
-325.438,-227.059
-301.452,-258.576
-274.413,-287.569
-244.583,-313.744
-212.256,-336.833
-177.751,-356.599
-141.409,-372.838
-103.589,-385.379
-64.6663,-394.09
-25.0289,-398.877
14.9284,-399.683
54.8062,-396.492
94.2056,-389.328
132.731,-378.256
169.996,-363.377
205.625,-344.834
239.257,-322.804
270.553,-297.501
299.195,-269.172
324.89,-238.093
